,subj_id,obj_id,class,conf,subj_centerx,subj_centery,subj_depth,obj_centerx,obj_centery,obj_depth,file
70, shelf, room,IN,0.017440898343920708,946.2037353515625, 609.15869140625,1753,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
71, shelf, book,HAS,0.017200607806444168,526.6397838592529, 677.4459075927734,1596,96.16004180908203, 673.9290466308594,0,data/test_images/color_test.png
72, shelf, shelf,ON,0.01694643869996071,464.7917175292969, 509.77549743652344,1922,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
73, shelf, building,ON,0.01532575860619545,564.2195281982422, 722.0908203125,2041,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
74, shelf, building,ON,0.015309130772948265,755.8904724121094, 720.04736328125,2006,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
75, shelf, building,ON,0.014506100676953793,558.771728515625, 653.7824096679688,1700,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
76, roof, shelf,ON,0.013986269943416119,355.6047706604004, 397.4654541015625,1942,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
77, shelf, book,HAS,0.013961918652057648,526.6397838592529, 677.4459075927734,1596,568.7074584960938, 752.6246032714844,202,data/test_images/color_test.png
78, shelf, building,ON,0.012864068150520325,565.9457092285156, 620.1885986328125,1697,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
79, book, room,IN,0.012594238854944706,929.1739807128906, 702.940673828125,1780,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
80, shelf, building,ON,0.01232475508004427,366.426513671875, 623.5203552246094,1823,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
81, shelf, book,HAS,0.012007689103484154,526.6397838592529, 677.4459075927734,1596,554.6773681640625, 648.3555603027344,1699,data/test_images/color_test.png
82, basket, room,IN,0.011783979833126068,362.6134948730469, 70.52854681015015,0,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
83, shelf, room,IN,0.011291120201349258,1632.87841796875, 629.2507019042969,690,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
84, shelf, book,HAS,0.011264102533459663,942.3191223144531, 676.4291687011719,1887,949.2057800292969, 582.4935302734375,1768,data/test_images/color_test.png
85, shelf, book,HAS,0.010920452885329723,526.6397838592529, 677.4459075927734,1596,929.1739807128906, 702.940673828125,1780,data/test_images/color_test.png
86, shelf, building,ON,0.010636874474585056,175.898193359375, 668.97119140625,0,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
87, shelf, building,ON,0.010167733766138554,757.7980041503906, 611.2727661132812,1187,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
88, book, bed,ON,0.0097154276445508,163.6019287109375, 691.2948303222656,0,524.7235107421875, 934.8022766113281,1404,data/test_images/color_test.png
89, building, room,IN,0.00902574323117733,536.9634399414062, 527.1029777526855,1937,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
90, basket, building,ON,0.008946924470365047,362.6134948730469, 70.52854681015015,0,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
91, shelf, room,IN,0.008890066295862198,565.9457092285156, 620.1885986328125,1697,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
92, shelf, room,IN,0.008807560428977013,464.7917175292969, 509.77549743652344,1922,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
93, shelf, book,HAS,0.008210677653551102,946.2037353515625, 609.15869140625,1753,949.2057800292969, 582.4935302734375,1768,data/test_images/color_test.png
94, shelf, room,IN,0.007713289000093937,366.426513671875, 623.5203552246094,1823,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
95, shelf, building,ON,0.007603928912431002,946.2037353515625, 609.15869140625,1753,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
96, paper, shelf,ON,0.007523130159825087,1017.8794860839844, 677.0256958007812,1767,942.3191223144531, 676.4291687011719,1887,data/test_images/color_test.png
97, shelf, room,IN,0.007106343749910593,757.7980041503906, 611.2727661132812,1187,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
98, shelf, book,HAS,0.006959077902138233,565.9457092285156, 620.1885986328125,1697,554.6773681640625, 648.3555603027344,1699,data/test_images/color_test.png
99, shelf, building,ON,0.005942217074334621,363.7660217285156, 655.4834899902344,1766,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
